prec_noix,prec_chocolat,prec_noisettes,prec_raisins,prec_fruits_confits,prec_lait,niveau_techno,methode_cuisson,ph_eau,pop,prop_grand_meres,freq_boulangeries,nb_visites_hebdo,prix,nb_bras,nb_doigts_main,nb_dents,taux_oxygene_atm,dist_lune_km,dist_soleil_km,dist_centre_galaxie_ly,nb_guerres_mondiales,nb_cookies_vendus,cookie_quality
1,0,0,0,0,1,1,5,0.08466283160703925,0.061764013512855355,-0.45927087543305367,0.8193485356888489,-0.08469417893386236,0.6443013852972133,0.0,-0.050525973491496005,1.8154824978325828,-0.9275553522042626,0.7764873566994699,-0.24913959529996363,-0.6586437965627213,-0.2831152978685667,-1.9277572919929107,1
0,1,0,1,0,1,0,0,-0.7511005603676805,0.2620025871592327,-1.4852306105677662,-0.5945402230494583,0.6485887555584529,-2.268938183027053,0.0,-0.050525973491496005,-0.4197828282356063,-0.4059293527642318,0.004771620671441423,-1.6055907576969681,-0.5719647421829668,-0.8290375845414689,-2.254429171754974,0
1,1,0,1,0,1,1,5,0.08466283160703925,-0.0009210571392522824,0.05370899213430326,0.11240415631969529,-0.08469417893386236,0.13157122127214238,0.0,-0.050525973491496005,0.13903350328144093,0.11569664667580037,-0.13004618863465994,-0.017806838922179904,-0.008550888714562591,-0.010154154532115591,-0.04341827824344876,0
0,0,0,1,0,1,4,3,-2.42262734431712,2.1466320700120964,-0.45927087543305367,0.8193485356888489,-0.08469417893386236,-1.3367015211632878,0.0,-0.050525973491496005,-0.9785991597526535,1.1589486455558633,-0.5321751715649278,-0.7538656092151281,-0.0952299430943171,-1.3749598712143711,-0.354154944358582,1
1,1,0,1,0,1,6,2,0.08466283160703925,-0.0009210571392522824,0.05370899213430326,0.11240415631969529,-0.08469417893386236,0.13157122127214238,0.0,-0.050525973491496005,0.13903350328144093,0.11569664667580037,-0.13004618863465994,-0.017806838922179904,-0.008550888714562591,-0.010154154532115591,-0.04341827824344876,1
0,1,1,0,0,0,1,5,0.920426223581759,1.4106662402626644,1.5926485948363727,1.5262929150580025,0.6485887555584529,-0.4044648592995226,0.0,-0.050525973491496005,-0.4197828282356063,-0.4059293527642318,0.13494054000147032,0.3975406100288409,0.9449187094627368,-0.010154154532115591,0.04422539681466576,1
0,0,0,0,1,0,6,2,-0.7511005603676805,0.6717854996343379,0.5666888597016602,1.5262929150580025,-1.5512600479184928,1.1104197162290959,0.0,1.0900151888447627,-0.4197828282356063,-0.4059293527642318,1.3692208286487086,-0.25439715794491324,-0.5286252149930896,-1.9208821578872735,-0.9955472936475109,1
0,1,0,1,0,1,0,0,0.08466283160703925,-1.8867968399898842,-0.9722507430004093,-1.301484602418612,0.6485887555584529,-0.5909121916722756,0.0,-0.050525973491496005,-0.9785991597526535,0.11569664667580037,-0.14399285856287733,-0.569850916641891,0.1648072200449464,1.0816904188136889,0.5581360369281554,0
1,1,0,1,0,1,1,7,0.08466283160703925,-0.0009210571392522824,0.05370899213430326,0.11240415631969529,-0.08469417893386236,0.13157122127214238,0.0,-0.050525973491496005,0.13903350328144093,0.11569664667580037,-0.13004618863465994,-0.017806838922179904,-0.008550888714562591,-0.010154154532115591,-0.04341827824344876,0
0,1,1,1,1,0,1,7,0.08466283160703925,-0.0009210571392522824,0.05370899213430326,0.11240415631969529,-0.08469417893386236,0.13157122127214238,0.0,-0.050525973491496005,0.13903350328144093,0.11569664667580037,-0.13004618863465994,-0.017806838922179904,-0.008550888714562591,-0.010154154532115591,-0.04341827824344876,1
